1 5 1
7 9 1
7 10 1
12 11 1
13 14 1
15 16 1
18 17 1
20 19 1
21 19 1
19 22 1
1 23 1
2 23 1
23 3 1
24 25 1
27 26 1
28 29 1
30 31 1
32 37 1
38 39 1
38 40 1
41 38 1
49 50 1
12 49 1
54 55 1
54 56 1
58 57 1
57 59 1
60 61 1
66 65 1
67 8 1
8 68 1
8 69 1
74 73 1
75 49 1
75 76 1
75 77 1
75 78 1
79 75 1
3 2 1
81 80 1
80 82 1
84 83 1
85 83 1
83 86 1
87 88 1
89 90 1
92 93 1
92 94 1
96 95 1
95 97 1
100 101 1
100 102 1
101 9 1
101 103 1
104 105 1
104 77 1
104 78 1
57 108 1
109 108 1
108 110 1
111 112 1
113 9 1
117 115 1
115 118 1
115 119 1
115 120 1
17 121 1
121 34 1
123 122 1
126 125 1
127 125 1
128 125 1
71 77 1
93 77 1
44 129 1
129 39 1
96 74 1
130 126 1
133 134 1
133 135 1
133 136 1
138 137 1
141 143 1
141 144 1
146 145 1
147 148 1
112 149 1
112 150 1
113 151 1
113 103 1
113 128 1
132 113 1
155 154 1
156 126 1
156 7 1
85 156 1
157 158 1
157 159 1
76 61 1
160 161 1
162 160 1
35 12 1
164 158 1
142 88 1
167 168 1
123 169 1
45 114 1
172 91 1
172 5 1
59 58 1
174 104 1
115 174 1
174 177 1
174 178 1
115 175 1
175 180 1
124 181 1
48 12 1
110 109 1
183 63 1
156 20 1
167 20 1
184 20 1
164 157 1
157 165 1
165 164 1
54 187 1
190 189 1
193 192 1
138 194 1
106 170 1
106 199 1
16 106 1
174 196 1
117 196 1
178 196 1
200 54 1
140 201 1
140 203 1
140 131 1
204 196 1
204 205 1
159 185 1
164 208 1
165 208 1
208 159 1
53 84 1
53 85 1
53 127 1
16 176 1
185 158 1
185 208 1
90 5 1
210 209 1
152 129 1
152 184 1
211 28 1
59 110 1
173 57 1
212 173 1
139 213 1
85 38 1
216 215 1
114 86 1
86 217 1
193 218 1
219 218 1
19 82 1
184 82 1
22 82 1
30 25 1
222 220 1
84 223 1
224 80 1
224 22 1
142 87 1
226 48 1
182 227 1
157 186 1
186 165 1
231 230 1
232 230 1
233 105 1
233 29 1
43 233 1
117 70 1
117 210 1
207 117 1
49 131 1
131 234 1
225 88 1
225 166 1
142 143 1
200 118 1
54 235 1
172 3 1
3 236 1
3 6 1
4 236 1
4 91 1
238 239 1
238 240 1
12 77 1
77 215 1
77 216 1
180 176 1
180 119 1
241 180 1
125 168 1
102 168 1
149 242 1
155 242 1
104 177 1
177 12 1
177 52 1
89 236 1
236 90 1
91 236 1
236 6 1
32 243 1
197 244 1
245 35 1
201 155 1
131 43 1
43 198 1
248 249 1
44 250 1
251 95 1
251 252 1
251 248 1
199 93 1
199 253 1
199 77 1
180 199 1
254 28 1
188 200 1
188 237 1
188 135 1
108 212 1
212 110 1
197 255 1
133 78 1
120 78 1
47 36 1
232 28 1
98 232 1
257 232 1
21 258 1
259 198 1
260 154 1
261 260 1
175 119 1
202 262 1
202 246 1
70 210 1
241 210 1
3 91 1
91 5 1
66 96 1
228 29 1
263 265 1
263 251 1
263 255 1
263 47 1
261 266 1
241 206 1
135 241 1
135 32 1
175 135 1
233 135 1
171 106 1
171 222 1
209 267 1
120 63 1
207 62 1
44 68 1
68 20 1
222 26 1
195 222 1
125 269 1
269 40 1
190 270 1
190 18 1
257 63 1
226 257 1
97 239 1
83 148 1
45 148 1
166 87 1
142 166 1
166 144 1
271 18 1
59 173 1
45 152 1
266 272 1
127 250 1
130 103 1
148 103 1
184 168 1
250 184 1
195 136 1
235 273 1
5 236 1
6 5 1
274 244 1
244 241 1
234 99 1
51 135 1
51 79 1
275 51 1
51 256 1
32 276 1
195 276 1
245 48 1
9 69 1
269 69 1
28 79 1
229 62 1
175 279 1
20 22 1
22 217 1
144 142 1
171 107 1
80 217 1
64 198 1
46 224 1
46 250 1
214 46 1
41 46 1
49 99 1
281 63 1
281 18 1
14 280 1
66 282 1
247 231 1
113 283 1
214 38 1
278 33 1
64 98 1
64 12 1
64 286 1
287 43 1
124 288 1
275 62 1
275 256 1
253 240 1
190 240 1
41 9 1
44 132 1
132 269 1
256 63 1
291 78 1
291 293 1
295 294 1
296 294 1
99 294 1
294 297 1
301 17 1
302 17 1
303 304 1
306 305 1
305 307 1
313 311 1
314 294 1
314 315 1
314 316 1
314 99 1
61 317 1
238 318 1
108 319 1
320 317 1
65 298 1
65 299 1
67 8 1
322 8 1
325 326 1
325 328 1
87 310 1
277 329 1
331 8 1
67 331 1
330 331 1
333 298 1
335 334 1
252 65 1
252 336 1
159 337 1
159 335 1
335 301 1
320 341 1
341 342 1
339 143 1
315 295 1
345 305 1
345 346 1
345 308 1
348 347 1
343 340 1
306 351 1
67 323 1
